Date,S&P 500 Close,HAS Close,Rf
02-02-15,2020.849976,53.37712,0.00005
03-02-15,2050.030029,54.792054,0.00015
04-02-15,2041.51001,55.211655,0.00005
05-02-15,2062.52002,54.772537,0.00008
06-02-15,2055.469971,54.39197,0.00015
09-02-15,2046.73999,58.217165,0.00003
10-02-15,2068.590088,60.120007,0.00005
11-02-15,2068.530029,59.719922,0.00005
12-02-15,2088.47998,60.656705,0.00008
13-02-15,2096.98999,61.222679,0.00005
17-02-15,2100.340088,60.959209,0.00008
18-02-15,2099.679932,60.617671,0.00013
19-02-15,2097.449951,60.285894,0.00013
20-02-15,2110.300049,60.334687,0.0001
23-02-15,2109.659912,60.520091,0.00015
24-02-15,2115.47998,60.549364,0.00018
25-02-15,2113.860107,60.578641,0.00015
26-02-15,2110.73999,60.988482,0.00013
27-02-15,2104.5,60.812835,0.00008
02-03-15,2117.389893,61.622764,0.00005
03-03-15,2107.780029,61.203163,0.00013
04-03-15,2098.530029,60.920175,0.0001
05-03-15,2101.040039,60.920175,0.00003
06-03-15,2071.26001,60.15904,0.00005
09-03-15,2079.429932,60.471301,0.00005
10-03-15,2044.160034,59.866293,0.0001
11-03-15,2040.23999,59.436935,0.00013
12-03-15,2065.949951,60.20783,0.00018
13-03-15,2053.399902,59.261288,0.00023
16-03-15,2081.189941,60.012666,0.0003
17-03-15,2074.280029,60.110246,0.00048
18-03-15,2099.5,59.94436,0.00038
19-03-15,2089.27002,59.622339,0.0001
20-03-15,2108.100098,59.602826,0.00003
23-03-15,2104.419922,59.89557,0.00003
24-03-15,2091.5,60.00291,0.00015
25-03-15,2061.050049,59.212498,0.00018
26-03-15,2056.149902,59.095401,0.00028
27-03-15,2061.02002,59.554032,0.0003
30-03-15,2086.23999,61.056789,0.00023
31-03-15,2067.889893,61.710587,0.00025
01-04-15,2059.689941,62.247285,0.00033
02-04-15,2066.959961,61.915508,0.0001
06-04-15,2080.620117,62.59858,0.00003
07-04-15,2076.330078,62.071638,0.00015
08-04-15,2081.899902,62.491239,0.00018
09-04-15,2091.179932,62.657126,0.0002
10-04-15,2102.060059,62.666886,0.00015
13-04-15,2092.429932,62.335109,0.00005
14-04-15,2095.840088,62.9206,0.0001
15-04-15,2106.629883,63.252374,0.00015
16-04-15,2104.98999,64.452631,0.0001
17-04-15,2081.179932,64.296497,0.00013
20-04-15,2100.399902,72.366497,0.00013
21-04-15,2097.290039,71.771249,0.0002
22-04-15,2107.959961,69.995264,0.0002
23-04-15,2112.929932,69.975744,0.0002
24-04-15,2117.689941,69.878164,0.00015
27-04-15,2108.919922,69.292676,0.00013
28-04-15,2114.76001,69.390256,0.00013
29-04-15,2106.850098,69.292041,0.00003
30-04-15,2085.51001,69.527759,0.00005
01-05-15,2108.290039,70.382249,0.00003
04-05-15,2114.48999,69.920629,0.00003
05-05-15,2089.459961,68.928636,0.00008
06-05-15,2080.149902,69.13489,0.0001
07-05-15,2088,69.851877,0.00005
08-05-15,2116.100098,69.950092,0.00003
11-05-15,2105.330078,70.716183,0.00005
12-05-15,2099.120117,69.694726,0.00013
13-05-15,2098.47998,69.184002,0.0001
14-05-15,2121.100098,70.686719,0.0001
15-05-15,2122.72998,71.099229,0.0001
18-05-15,2129.199951,70.686719,0.00008
19-05-15,2127.830078,70.549216,0.0001
20-05-15,2125.850098,70.509929,0.00013
21-05-15,2130.820068,71.256379,0.00013
22-05-15,2126.060059,71.600137,0.0001
26-05-15,2104.199951,70.892974,0.0001
27-05-15,2123.47998,71.109052,0.00013
28-05-15,2120.790039,71.158156,0.00003
29-05-15,2107.389893,70.843862,0.00003
01-06-15,2111.72998,71.099229,0.00008
02-06-15,2109.600098,70.88315,0.0001
03-06-15,2114.070068,71.482274,0.0001
04-06-15,2095.840088,70.902798,0.00005
05-06-15,2092.830078,70.932262,0.0001
08-06-15,2079.280029,71.050117,0.0001
09-06-15,2080.149902,70.765295,0.00013
10-06-15,2105.199951,71.393882,0.00013
11-06-15,2108.860107,71.963535,0.00008
12-06-15,2094.110107,71.521562,0.00005
15-06-15,2084.429932,71.590313,0.00003
16-06-15,2096.290039,71.73764,0.00008
17-06-15,2100.439941,73.259998,0.00003
18-06-15,2121.23999,74.143952,0.00003
19-06-15,2109.98999,74.821651,0.00003
22-06-15,2122.850098,75.263624,0.00003
23-06-15,2124.199951,76.383296,0.00008
24-06-15,2108.580078,76.943132,0.00005
25-06-15,2102.310059,77.021708,0.00005
26-06-15,2101.48999,76.304728,0.00005
29-06-15,2057.639893,74.251991,0.00005
30-06-15,2063.110107,73.456436,0.0001
01-07-15,2077.419922,74.428782,0.00003
02-07-15,2076.780029,74.566285,0.00003
06-07-15,2068.76001,74.497533,0.00005
07-07-15,2081.340088,74.802011,0.0001
08-07-15,2046.680054,75.676141,0.0001
09-07-15,2051.310059,74.585932,0.00008
10-07-15,2076.620117,75.843108,0.00008
13-07-15,2099.600098,76.825277,0.00008
14-07-15,2108.949951,77.286898,0.0001
15-07-15,2107.399902,76.67795,0.00013
16-07-15,2124.290039,77.021708,0.0001
17-07-15,2126.639893,76.854741,0.00013
20-07-15,2128.280029,81.667371,0.00023
21-07-15,2119.209961,78.986046,0.0003
22-07-15,2114.149902,78.42621,0.0003
23-07-15,2102.149902,77.866374,0.0003
24-07-15,2079.649902,78.219955,0.0003
27-07-15,2067.639893,78.092276,0.00028
28-07-15,2093.25,78.151204,0.00043
29-07-15,2108.570068,79.319988,0.00045
30-07-15,2108.629883,79.013767,0.0006
31-07-15,2103.840088,77.779023,0.00058
03-08-15,2098.040039,76.791227,0.00063
04-08-15,2093.320068,77.867928,0.00075
05-08-15,2099.840088,78.272921,0.00075
06-08-15,2083.560059,75.991115,0.00028
07-08-15,2077.570068,76.46526,0.00055
10-08-15,2104.179932,78.53963,0.00065
11-08-15,2084.070068,78.164262,0.00098
12-08-15,2086.050049,78.519869,0.0009
13-08-15,2083.389893,79.566938,0.00083
14-08-15,2091.540039,79.724981,0.0008
17-08-15,2102.439941,79.636083,0.0006
18-08-15,2096.919922,79.399007,0.00085
19-08-15,2079.610107,78.608775,0.0004
20-08-15,2035.72998,76.909765,0.00015
21-08-15,1970.890015,74.262473,0.0002
24-08-15,1893.209961,70.31129,0.00015
25-08-15,1867.609985,70.657017,0.00053
26-08-15,1940.51001,71.901642,0.00055
27-08-15,1987.660034,74.22296,0.0005
28-08-15,1988.869995,74.588447,0.0005
31-08-15,1972.180054,73.67967,0.00003
01-09-15,1913.849976,71.634933,0.00038
02-09-15,1948.859985,73.600652,0.00025
03-09-15,1951.130005,75.92197,0.00015
04-09-15,1921.219971,74.450156,0.00025
08-09-15,1969.410034,75.358927,0.00025
09-09-15,1942.040039,74.361251,0.00035
10-09-15,1952.290039,75.102098,0.00015
11-09-15,1961.050049,75.813312,0.00023
14-09-15,1953.030029,76.633184,0.00025
15-09-15,1978.089966,78.114877,0.00058
16-09-15,1995.310059,79.270596,0.00053
17-09-15,1990.199951,76.564038,0.00003
18-09-15,1958.030029,76.119526,0.0001
21-09-15,1966.969971,76.247944,0.00013
22-09-15,1942.73999,74.62796,0.00003
23-09-15,1938.76001,74.460029,0.00003
24-09-15,1932.23999,73.738942,0.00005
25-09-15,1931.339966,74.035277,0.0002
28-09-15,1881.77002,71.249693,0.00013
29-09-15,1884.089966,71.802864,0.00003
30-09-15,1920.030029,71.259573,0.00005
01-10-15,1923.819946,70.805188,0.00018
02-10-15,1951.359985,70.489094,0.00008
05-10-15,1987.050049,72.741267,0.00008
06-10-15,1979.920044,71.970787,0.00005
07-10-15,1995.829956,72.523951,0.00005
08-10-15,2013.430054,72.899318,0.00003
09-10-15,2014.890015,73.442601,0.00003
12-10-15,2017.459961,73.531506,0.0001
13-10-15,2003.689941,73.225284,0.00005
14-10-15,1994.23999,72.770899,0.0001
15-10-15,2023.859985,74.410644,0.00005
16-10-15,2033.109985,76.83074,0.00005
19-10-15,2033.660034,71.299086,0.00005
20-10-15,2030.77002,72.049813,0.0001
21-10-15,2018.939941,73.086994,0.00005
22-10-15,2052.51001,75.823192,0.00005
23-10-15,2075.149902,77.907441,0.00003
26-10-15,2071.179932,77.35427,0.00008
27-10-15,2065.889893,77.265372,0.0001
28-10-15,2090.350098,77.22586,0.00035
29-10-15,2089.409912,77.255668,0.00053
30-10-15,2079.360107,76.341519,0.00068
02-11-15,2104.050049,76.748908,0.00053
03-11-15,2109.790039,76.738977,0.00058
04-11-15,2102.310059,76.520375,0.00055
05-11-15,2099.929932,76.570053,0.0004
06-11-15,2099.199951,77.74255,0.00073
09-11-15,2078.580078,77.891598,0.00075
10-11-15,2081.719971,79.302568,0.00125
11-11-15,2075,78.070454,0.00123
12-11-15,2045.969971,77.355031,0.00123
13-11-15,2023.040039,75.526733,0.00113
16-11-15,2053.189941,75.288253,0.00098
