"ST","AGEP","race","hispanic","female","logwage","logearn","field","mfield"
"01",30,2,0,1,6.59538059393998,10.3089526606443,36,7
"01",33,1,0,0,7.13089883029635,10.8197782844103,21,2
"01",32,1,0,0,6.82074390199251,10.6919449129004,11,7
"01",31,1,0,0,7.02553831463852,10.7144177687525,62,6
"01",33,1,0,1,6.93244789157251,10.6213273456864,23,3
"01",27,1,0,1,6.80239476332431,10.4912742174382,52,5
"01",39,1,0,0,7.82404601085629,11.5129254649702,19,1
"01",26,4,1,1,6.21460809842219,9.90348755253613,21,2
"01",40,1,0,0,7.26192709270275,10.9508065468167,24,4
"01",27,1,0,1,7.02553831463852,10.7144177687525,40,10
"01",32,1,0,0,7.02553831463852,10.7144177687525,23,3
"01",32,1,0,1,6.93244789157251,10.6213273456864,23,3
"01",33,1,0,0,6.68461172766793,10.5966347330961,62,6
"01",31,1,0,1,6.62007320653036,10.3089526606443,62,6
"01",36,2,0,1,6.99087018569264,10.797532675463,62,6
"01",36,1,0,1,6.21460809842219,9.90348755253613,29,10
"01",31,1,0,0,6.92017779898069,10.6090572530946,62,6
"01",31,1,0,1,6.29156913955832,9.98044859367226,64,8
"01",40,1,0,1,7.4831194238857,11.289781913656,61,9
"01",37,1,0,0,7.75147531802146,11.4403547721354,24,4
"01",35,1,0,1,7.72973533138505,11.418614785499,24,4
"01",26,1,0,1,6.58233287854751,10.3889953683178,49,10
"01",33,1,0,0,6.51963880920859,10.6139833714307,41,10
"01",36,1,0,1,6.98007594056176,10.6689553946757,23,3
"01",39,2,0,0,7.50933526601659,11.1982147201305,36,7
"01",35,1,0,1,6.93973832483519,10.6286177789491,54,10
"01",26,1,0,0,5.52146091786225,9.90348755253613,24,4
"01",38,1,0,0,7.02553831463852,11.4075649493124,21,2
"01",28,4,0,0,6.21460809842219,9.90348755253613,36,7
"01",31,1,0,1,7.13089883029635,10.7144177687525,61,9
"01",28,1,0,0,6.78997224332575,10.5966347330961,59,10
"01",38,1,0,1,7.14414405704637,10.9508065468167,62,6
"01",34,1,0,0,7.22983877815125,11.1418617835794,14,7
"01",34,1,0,0,7.57558465155779,11.2644641056717,62,6
"01",35,1,0,1,7.19543735143392,11.0020998412042,33,8
"01",33,1,0,1,7.07326971745971,10.9852927228879,62,6
"01",30,1,0,1,6.46146817635372,10.3734911817819,23,3
"01",28,1,0,1,6.39692965521615,10.3089526606443,62,6
"01",32,1,0,0,7.24422751560335,11.1562505210315,19,1
"01",33,1,0,1,7.36201055125973,11.0508900053737,61,9
"01",29,1,0,0,7.03035760107447,10.8589989975636,13,7
"01",34,1,0,0,7.32060049438792,11.1272629841582,64,8
"01",37,1,0,0,7.27931883541462,10.9681982895286,62,6
"01",31,2,0,1,7.32060049438792,11.1272629841582,61,9
"01",40,1,0,0,8.1129773027085,12.4950039373824,19,1
"01",32,1,0,1,6.90775527898214,10.5966347330961,52,5
"01",30,1,1,0,6.65286302935335,11.0348896640272,53,10
"01",31,1,0,1,6.39692965521615,10.3089526606443,33,8
"01",28,1,0,1,7.17011954344963,10.8589989975636,61,9
"01",29,1,0,0,6.9302281348342,10.7144177687525,62,6
"01",28,1,0,1,6.85646198459459,10.5453414387085,62,6
"01",32,1,0,0,7.5670009078664,11.3736633976367,24,4
"01",30,2,0,1,7.45137072557112,11.0348896640272,61,9
"01",31,1,0,1,6.99163676296284,10.6805162170768,19,1
"01",30,1,0,1,6.51385099327505,10.2750511089686,19,1
"01",33,4,1,0,7.49554194388426,11.1844213979982,24,4
"01",32,1,0,1,6.78558764500793,10.4744670991219,52,5
"01",29,1,0,0,7.17011954344963,11.0821425488778,53,10
"01",27,1,0,0,6.68461172766793,10.5966347330961,25,10
"01",26,1,0,1,6.49223983502047,10.1811192891344,23,3
"01",31,1,0,0,7.39326309476384,11.0821425488778,62,6
"01",40,1,0,0,7.10511471314063,11.1124478983731,61,9
"01",33,2,0,1,7.41858090274813,11.289781913656,61,9
"01",33,2,0,0,7.42322128230463,11.1844213979982,62,6
"01",33,2,0,1,6.71538338633468,10.4042628404486,62,6
"01",32,1,0,0,7.02108396428914,10.9331069697173,60,8
"01",33,1,0,0,7.60090245954208,11.289781913656,24,4
"01",33,1,0,1,7.23625934595417,10.8197782844103,61,9
"01",36,1,0,1,6.96129604591017,10.6501755000241,62,6
"01",26,1,0,1,6.30991827822652,9.99879773234045,55,5
"01",33,1,0,0,6.4377516497364,10.3089526606443,53,10
"01",33,1,0,0,6.74523634948436,10.4341158035983,64,8
"01",36,2,0,0,6.90775527898214,10.5966347330961,53,10
"01",39,1,0,0,6.90775527898214,10.5966347330961,23,3
"01",28,1,0,1,6.98007594056176,10.6689553946757,23,3
"01",37,1,0,0,7.62559507213245,11.3144745262464,62,6
"01",35,1,0,1,6.85646198459459,10.5453414387085,19,1
"01",30,1,0,1,7.33123889259298,11.3385720778255,62,6
"01",32,1,0,1,6.90775527898214,10.5966347330961,21,2
"01",37,1,0,0,6.62007320653036,10.3089526606443,62,6
"01",27,1,0,0,5.52146091786225,9.47270463644367,62,6
"01",40,1,0,0,7.39326309476384,11.0821425488778,62,6
"01",40,4,0,1,6.77422388635761,10.4631033404715,54,10
"01",30,1,0,1,6.62007320653036,10.3089526606443,29,10
"01",39,1,0,0,6.90775527898214,11.0020998412042,62,6
"01",28,1,0,0,7.3132203870903,11.1844213979982,24,4
"01",27,1,0,0,6.95654544315157,10.6454248972655,62,6
"01",35,1,0,0,5.92247167562103,9.72913416539135,62,6
"01",37,1,0,0,7.60090245954208,11.5129254649702,62,6
