obs,AdjClose,ReturnO
"2010-04-06",7604.439941,0.0461754669327519
"2010-04-07",7546.180176,-0.766128281004463
"2010-04-08",7565.330078,0.253769477449062
"2010-04-09",7629.049805,0.842259707680126
"2010-04-12",7641.75,0.166471517746247
"2010-04-13",7638.350098,-0.0444911440442342
"2010-04-14",7728.959961,1.18624914853962
"2010-04-15",7719.660156,-0.120324145123352
"2010-04-16",7584.620117,-1.74930030948373
"2010-04-19",7596.560059,0.157423072162022
"2010-04-20",7669.109863,0.955034955776424
"2010-04-21",7644.669922,-0.31868028280454
"2010-04-22",7642.830078,-0.0240670168728307
"2010-04-23",7701.609863,0.769084022542876
"2010-04-26",7677.649902,-0.311103281342617
"2010-04-27",7463.089844,-2.794605911167
"2010-04-28",7499.720215,0.490820447906692
"2010-04-29",7589.290039,1.19430887329441
"2010-04-30",7474.399902,-1.5138456484019
"2010-05-03",7543.120117,0.919407790605531
"2010-05-04",7337.25,-2.72924352001275
"2010-05-05",7258.02002,-1.07983208967938
"2010-05-06",7011.919922,-3.39073324848723
"2010-05-07",6916.180176,-1.36538561570869
"2010-05-10",7257.620117,4.93682831145492
"2010-05-11",7221.660156,-0.495478688885476
"2010-05-12",7316.359863,1.31132876588385
"2010-05-13",7234.370117,-1.12063577428216
"2010-05-14",7077.640137,-2.16646338886783
"2010-05-17",7063.830078,-0.195122367521983
"2010-05-18",6959.209961,-1.48106786042087
"2010-05-19",6927.209961,-0.459822309993962
"2010-05-20",6653,-3.95844737699296
"2010-05-21",6775.450195,1.84052600330678
"2010-05-24",6666.740234,-1.60446845407002
"2010-05-25",6665.830078,-0.0136521893467245
"2010-05-26",6631.359863,-0.517118117273441
"2010-05-27",6893.290039,3.94987123925294
"2010-05-28",6791.569824,-1.47564101357263
"2010-06-01",6661.100098,-1.92105403288275
"2010-06-02",6839.609863,2.67988413886164
"2010-06-03",6860.390137,0.303822504736928
"2010-06-04",6600.27002,-3.79162280578039
"2010-06-07",6512.419922,-1.33100763656333
"2010-06-08",6596.120117,1.28523952697288
"2010-06-09",6559.709961,-0.551993525802563
"2010-06-10",6783.509766,3.41173323714885
"2010-06-11",6814.759766,0.460675978630265
"2010-06-14",6817.970215,0.0471102300042547
"2010-06-15",6989.879883,2.52142004994076
"2010-06-16",6976.080078,-0.197425495587733
"2010-06-17",6982.040039,0.0854342400511632
"2010-06-18",6988.25,0.0889419276502545
"2010-06-21",6978.859863,-0.134370364540481
"2010-06-22",6858.950195,-1.71818420707553
"2010-06-23",6850.049805,-0.129763152479057
"2010-06-24",6730.240234,-1.74903211524897
"2010-06-25",6763.930176,0.500575623286137
"2010-06-28",6736.600098,-0.404056181670431
"2010-06-29",6520.089844,-3.21393953701183
"2010-06-30",6469.649902,-0.77360808220176
"2010-07-01",6462.029785,-0.117782524795429
"2010-07-02",6434.810059,-0.421225635065681
"2010-07-06",6486.089844,0.796912178134579
"2010-07-07",6685.779785,3.07874151920242
"2010-07-08",6755.810059,1.0474511014724
"2010-07-09",6808.709961,0.783028260682461
"2010-07-12",6794.47998,-0.208996727449229
"2010-07-13",6907.779785,1.66752724761137
"2010-07-14",6903.359863,-0.0639846975087122
"2010-07-15",6916.810059,0.194835504260604
"2010-07-16",6709.509766,-2.99705053676103
"2010-07-19",6739.640137,0.449069634754595
"2010-07-20",6820.040039,1.19294057791917
"2010-07-21",6731.160156,-1.30321643995851
"2010-07-22",6901.910156,2.53670980993963
"2010-07-23",6965.109863,0.915684289878205
"2010-07-26",7046,1.16136196831158
"2010-07-27",7044.990234,-0.0143310530797636
"2010-07-28",6999.180176,-0.650250127798824
"2010-07-29",6994.569824,-0.0658698859590467
"2010-07-30",6998.990234,0.0631977392638428
"2010-08-02",7174.899902,2.51335781475246
"2010-08-03",7146.990234,-0.388990346641915
"2010-08-04",7182.140137,0.491814062271745
"2010-08-05",7174.27002,-0.109578995255966
"2010-08-06",7153.720215,-0.286437574034881
"2010-08-09",7188.299805,0.48337912248082
"2010-08-10",7139.75,-0.675400391149927
"2010-08-11",6902.709961,-3.32000474806542
"2010-08-12",6881.939941,-0.300896606077172
"2010-08-13",6861.040039,-0.303692013867851
"2010-08-16",6871.580078,0.153621592937614
"2010-08-17",6959.790039,1.28369254230789
"2010-08-18",6968.080078,0.11911334901693
"2010-08-19",6850.450195,-1.68812472995807
"2010-08-20",6813.149902,-0.54449403963589
"2010-08-23",6784.970215,-0.413607324150134
"2010-08-24",6681.029785,-1.53192168434597
"2010-08-25",6696.120117,0.225868353915759
"2010-08-26",6665.259766,-0.460869137064202
"2010-08-27",6794.910156,1.94516634837485
"2010-08-30",6695.279785,-1.46625001232761
"2010-08-31",6704.149902,0.132483141628725
"2010-09-01",6910.97998,3.0851052113005
"2010-09-02",6966.25,0.799742151763549
"2010-09-03",7055.029785,1.27442720258388
"2010-09-07",6959.939941,-1.34783051096644
"2010-09-08",6999.939941,0.574717603012154
"2010-09-09",7034.370117,0.491863877264676
"2010-09-10",7067.509766,0.471110397218233
"2010-09-13",7156.180176,1.25462026846528
"2010-09-14",7162.080078,0.0824448498346397
"2010-09-15",7179.790039,0.247273987544494
"2010-09-16",7169.47998,-0.143598335661588
"2010-09-17",7154.649902,-0.206850120808899
"2010-09-20",7266.02002,1.55661170742776
"2010-09-21",7245.950195,-0.276214832119326
"2010-09-22",7210.850098,-0.484409857305135
"2010-09-23",7141.509766,-0.961611059134793
"2010-09-24",7301.040039,2.23384519838519
"2010-09-27",7263.370117,-0.515952820403376
"2010-09-28",7310.319824,0.646390122542617
