code_numeric,fhpolrigaug,lrgdpch,laborshare,lpop,socialist,medage,year
12,NA,NA,NA,NA,0,NA,1990
12,NA,NA,NA,NA,0,NA,1995
12,NA,NA,NA,NA,0,NA,2000
13,NA,NA,NA,NA,0,NA,1960
13,NA,NA,NA,NA,0,NA,1965
13,NA,NA,NA,NA,0,NA,1970
13,NA,NA,NA,NA,0,NA,1975
13,NA,NA,NA,NA,0,NA,1980
13,NA,NA,NA,NA,0,NA,1985
13,NA,NA,NA,NA,0,NA,1990
13,NA,NA,NA,NA,0,NA,1995
13,NA,NA,NA,NA,0,NA,2000
14,0.31,6.283445,NA,7.986505,0,18,1960
14,0.58,6.400949,NA,8.074961,0,17.5,1965
14,0,6.743066,0.2657666,8.164511,0,17.4,1970
14,0,6.644792,0.1580803,8.210668,0,17,1975
14,0,6.623969,0.181053,8.326033,0,17.3,1980
14,0,6.609796,0.1750481,8.464004,0,17.7,1985
14,0,6.719303,NA,8.604471,0,17.3,1990
14,0.1666667,6.541517,NA,8.725183,0,16.3,1995
14,0.1666667,6.25998,NA,8.825706,0,15.8,2000
15,1,8.95908,0.504463,9.118115,0,35.2,1960
15,1,9.188131,0.4791776,9.153559,0,34.7,1965
15,1,9.404516,0.4653485,9.173469,0,34.5,1970
15,1,9.550781,0.4891019,9.189628,0,34.1,1975
15,1,9.700546,0.4812134,9.194922,0,34.2,1980
15,1,9.737533,0.3894584,9.196038,0,35.3,1985
15,1,9.897312,0.420909,9.207075,0,36.3,1990
15,1,9.948232,NA,9.223927,0,37.5,1995
15,1,10.07665,NA,9.235229,0,39.1,2000
16,0.55,6.972244,NA,7.712891,0,20.2,1960
16,0.25,7.013138,NA,7.795647,0,18.4,1965
16,0,6.997882,NA,7.902857,0,17.1,1970
16,0,6.887999,0.2527462,8.021585,0,17.7,1975
16,0,6.907778,NA,8.148735,0,17.2,1980
16,0,7.066224,NA,8.298041,0,16.6,1985
16,0.1666667,6.90776,NA,8.457443,0,16,1990
16,0.8333333,6.971512,NA,8.611048,0,16,1995
16,0.8333333,7.101663,NA,8.743851,0,16.6,2000
17,0.14,6.626073,NA,8.440312,0,18.4,1960
17,0.07,6.438499,NA,8.537584,0,17.8,1965
17,0.6666667,6.50586,0.1110584,8.636397,0,16.8,1970
17,0.1666667,6.581646,0.2186069,8.732627,0,15.8,1975
17,0.1666667,6.639576,0.1825083,8.848222,0,15.4,1980
17,0,6.71311,NA,8.97221,0,15.3,1985
